"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "JavaScript", "Svelte", "XML", "Ignore", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Todo\TodoComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 14, 7, 60
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postComment.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postDelete.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 27
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postLike.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 25
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postPosts.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 121
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postSendMentionNotif.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 30
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postSetReminder.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 35
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\functions\postUpdate.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 40
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\notification.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
